id,type,author,settings,regular,dateCreated,dateSubmitted,dateModified,name,favorite,hidden,color,category,tags,grade,stage,status,is,os,prod,competitions,themes,team,code,raw,fail,sharpe,fitness,them
YWJpzXq,REGULAR,TN31932,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 5, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","{'code': 'rank(ts_delta(fnd7_ointfund_qiimbi,20)/fnd7_ointfund_qtl)+rank(ts_max(ts_min_max_cps(mdl77_pricemomentumfactor_chgvolpre4y,252),100))', 'description': None, 'operatorCount': 7}",2023-05-23T21:22:04-04:00,,2023-05-24T01:22:04-04:00,,False,False,,,[],,IS,UNSUBMITTED,"{'pnl': 3886063, 'bookSize': 20000000, 'longCount': 1051, 'shortCount': 1058, 'turnover': 0.0745, 'returns': 0.0395, 'drawdown': 0.0246, 'margin': 0.00106, 'fitness': 1.01, 'sharpe': 1.79, 'checks': [{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 1.79}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 1.01}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.0745}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.0745}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.78, 'value': 0.91}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'MATCHES_THEMES', 'result': 'WARNING', 'matched': [], 'unmatched': [{'id': 'qyQGwDE', 'name': 'Data Field Theme 19', 'multiplier': 5.0}]}, {'name': 'IS_LADDER_SHARPE', 'result': 'PENDING'}]}",,,,,,"rank(ts_delta(fnd7_ointfund_qiimbi,20)/fnd7_ointfund_qtl)+rank(ts_max(ts_min_max_cps(mdl77_pricemomentumfactor_chgvolpre4y,252),100))",2,0,1.79,1.01,WARNING
O5Vp3dg,REGULAR,TN31932,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 4, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","{'code': '-rank(ts_regression(ts_scale(vec_percentage(mdl135_d8_oc,percentage=0.5),240),mdl165_dl8ibesnuggetschiwumodel1_21v,120))+group_rank(ts_delay(ts_mean(vec_stddev(opt11_iv60percentile),252)/ts_min(est_q_dps_mean,180),150),subindustry)', 'description': None, 'operatorCount': 12}",2023-05-23T21:31:45-04:00,,2023-05-24T12:50:13-04:00,,True,True,,,[],,IS,UNSUBMITTED,"{'pnl': 1282448, 'bookSize': 20000000, 'longCount': 553, 'shortCount': 557, 'turnover': 0.1666, 'returns': 0.0893, 'drawdown': 0.036, 'margin': 0.001072, 'fitness': 1.65, 'sharpe': 2.26, 'checks': [{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 2.26}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 1.65}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.1666}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.1666}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.98, 'value': 1.97}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'MATCHES_THEMES', 'result': 'WARNING', 'matched': [], 'unmatched': [{'id': 'qyQGwDE', 'name': 'Data Field Theme 19', 'multiplier': 5.0}]}, {'name': 'IS_LADDER_SHARPE', 'result': 'PENDING'}]}",,,,,,"-rank(ts_regression(ts_scale(vec_percentage(mdl135_d8_oc,percentage=0.5),240),mdl165_dl8ibesnuggetschiwumodel1_21v,120))+group_rank(ts_delay(ts_mean(vec_stddev(opt11_iv60percentile),252)/ts_min(est_q_dps_mean,180),150),subindustry)",2,0,2.26,1.65,WARNING
WW0pvqZ,REGULAR,TN31932,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","{'code': 'group_rank(ts_zscore(ts_min_max_diff(fnd65_totalcap_cusip_vefcfmtt,180),240),industry)+group_rank(regression_proj(ts_sum(vec_powersum(nws17_d1_qep,constant=2),100),ts_min(vec_max(nws3_scores_uncertaintypartnormscr),60)),sector)', 'description': None, 'operatorCount': 10}",2023-05-23T21:31:55-04:00,,2023-05-24T01:31:55-04:00,,False,False,,,[],,IS,UNSUBMITTED,"{'pnl': 3948355, 'bookSize': 20000000, 'longCount': 1173, 'shortCount': 1176, 'turnover': 0.13, 'returns': 0.0434, 'drawdown': 0.022, 'margin': 0.000668, 'fitness': 1.06, 'sharpe': 1.83, 'checks': [{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 1.83}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 1.06}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.13}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.13}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.79, 'value': 1.45}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'MATCHES_THEMES', 'result': 'WARNING', 'matched': [], 'unmatched': [{'id': 'qyQGwDE', 'name': 'Data Field Theme 19', 'multiplier': 5.0}]}, {'name': 'IS_LADDER_SHARPE', 'result': 'PENDING'}]}",,,,,,"group_rank(ts_zscore(ts_min_max_diff(fnd65_totalcap_cusip_vefcfmtt,180),240),industry)+group_rank(regression_proj(ts_sum(vec_powersum(nws17_d1_qep,constant=2),100),ts_min(vec_max(nws3_scores_uncertaintypartnormscr),60)),sector)",2,0,1.83,1.06,WARNING
5qeOnE5,REGULAR,TN31932,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 10, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","{'code': 'group_rank(ts_rank(arc_tan(mdl211_netq_deltaprofitability_profitability2),40),sector)+group_rank(ts_delta(ts_min_max_diff(mdl165_dl8starminenuggetschiehuangmodel1_24v,180),150),subindustry)', 'description': None, 'operatorCount': 7}",2023-05-23T21:35:50-04:00,,2023-05-24T01:35:50-04:00,,False,False,,,[],,IS,UNSUBMITTED,"{'pnl': 3969915, 'bookSize': 20000000, 'longCount': 1478, 'shortCount': 1489, 'turnover': 0.1187, 'returns': 0.0404, 'drawdown': 0.0297, 'margin': 0.00068, 'fitness': 1.04, 'sharpe': 1.83, 'checks': [{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 1.83}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 1.04}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.1187}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.1187}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.79, 'value': 1.15}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'MATCHES_THEMES', 'result': 'WARNING', 'matched': [], 'unmatched': [{'id': 'qyQGwDE', 'name': 'Data Field Theme 19', 'multiplier': 5.0}]}, {'name': 'IS_LADDER_SHARPE', 'result': 'PENDING'}]}",,,,,,"group_rank(ts_rank(arc_tan(mdl211_netq_deltaprofitability_profitability2),40),sector)+group_rank(ts_delta(ts_min_max_diff(mdl165_dl8starminenuggetschiehuangmodel1_24v,180),150),subindustry)",2,0,1.83,1.04,WARNING
ZWMn5vx,REGULAR,TN31932,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 4, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","{'code': '-rank(vector_proj(ts_arg_min(mdl26_nm_mn_nlysts_prr_fq3_rnngs_7,5),days_from_last_change(vec_stddev(mdl117_md_score_litigious))))-group_rank(ts_av_diff(opt4_30_put_strike_delta65,10)/ts_stddev(anl4_netdebt_low,100),industry)', 'description': None, 'operatorCount': 11}",2023-05-23T21:38:06-04:00,,2023-05-24T01:38:06-04:00,,False,False,,,[],,IS,UNSUBMITTED,"{'pnl': 10132634, 'bookSize': 20000000, 'longCount': 329, 'shortCount': 324, 'turnover': 0.3528, 'returns': 0.103, 'drawdown': 0.0703, 'margin': 0.000584, 'fitness': 1.15, 'sharpe': 2.12, 'checks': [{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 2.12}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 1.15}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.3528}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.3528}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.92, 'value': 1.39}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'MATCHES_THEMES', 'result': 'WARNING', 'matched': [], 'unmatched': [{'id': 'qyQGwDE', 'name': 'Data Field Theme 19', 'multiplier': 5.0}]}, {'name': 'IS_LADDER_SHARPE', 'result': 'PENDING'}]}",,,,,,"-rank(vector_proj(ts_arg_min(mdl26_nm_mn_nlysts_prr_fq3_rnngs_7,5),days_from_last_change(vec_stddev(mdl117_md_score_litigious))))-group_rank(ts_av_diff(opt4_30_put_strike_delta65,10)/ts_stddev(anl4_netdebt_low,100),industry)",2,0,2.12,1.15,WARNING
RkK80jd,REGULAR,TN31932,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","{'code': '-rank(vector_neut(quantile(mdl165_dl8ibesnuggetschiwumodel1_84v),ts_skewness(mdl165_forddl8nuggetv1_31v,150)))-rank(ts_ir(sigmoid(est_q_ebt_lowered_1wk)/tanh(mdl26_rm02fy_stm_fy1_rnngs),150))', 'description': None, 'operatorCount': 11}",2023-05-23T21:43:44-04:00,,2023-05-24T01:43:44-04:00,,False,False,,,[],,IS,UNSUBMITTED,"{'pnl': 4302156, 'bookSize': 20000000, 'longCount': 1208, 'shortCount': 1217, 'turnover': 0.2137, 'returns': 0.0784, 'drawdown': 0.0525, 'margin': 0.000734, 'fitness': 1.11, 'sharpe': 1.84, 'checks': [{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 1.84}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 1.11}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.2137}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.2137}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.8, 'value': 1.42}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'MATCHES_THEMES', 'result': 'WARNING', 'matched': [], 'unmatched': [{'id': 'qyQGwDE', 'name': 'Data Field Theme 19', 'multiplier': 5.0}]}, {'name': 'IS_LADDER_SHARPE', 'result': 'PENDING'}]}",,,,,,"-rank(vector_neut(quantile(mdl165_dl8ibesnuggetschiwumodel1_84v),ts_skewness(mdl165_forddl8nuggetv1_31v,150)))-rank(ts_ir(sigmoid(est_q_ebt_lowered_1wk)/tanh(mdl26_rm02fy_stm_fy1_rnngs),150))",2,0,1.84,1.11,WARNING
J51ORnW,REGULAR,TN31932,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","{'code': '-group_rank(ts_min_diff(anl14_high_eps_fp2,100),subindustry)+rank(ts_zscore(mdl77_opricemomentumfactor_pctabv260low,20))', 'description': None, 'operatorCount': 6}",2023-05-23T21:44:06-04:00,,2023-05-24T01:44:06-04:00,,False,False,,,[],,IS,UNSUBMITTED,"{'pnl': 7119613, 'bookSize': 20000000, 'longCount': 1279, 'shortCount': 1252, 'turnover': 0.3121, 'returns': 0.0724, 'drawdown': 0.0429, 'margin': 0.000464, 'fitness': 1.02, 'sharpe': 2.12, 'checks': [{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 2.12}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 1.02}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.3121}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.3121}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.92, 'value': 1.66}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'MATCHES_THEMES', 'result': 'WARNING', 'matched': [], 'unmatched': [{'id': 'qyQGwDE', 'name': 'Data Field Theme 19', 'multiplier': 5.0}]}, {'name': 'IS_LADDER_SHARPE', 'result': 'PENDING'}]}",,,,,,"-group_rank(ts_min_diff(anl14_high_eps_fp2,100),subindustry)+rank(ts_zscore(mdl77_opricemomentumfactor_pctabv260low,20))",2,0,2.12,1.02,WARNING
G3xLEOP,REGULAR,TN31932,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","{'code': '-group_rank(ts_delay(sigmoid(opt4_122_call_pre_delta25)/ts_mean(vec_choose(fnd14_td_lf_sgr_ncr,nth=0),126),180),subindustry)-group_rank(fnd65_totalcap_cusip_indrelrtn5d_,sector)', 'description': None, 'operatorCount': 9}",2023-05-23T21:44:18-04:00,,2023-05-24T01:44:18-04:00,,False,False,,,[],,IS,UNSUBMITTED,"{'pnl': 2923876, 'bookSize': 20000000, 'longCount': 1169, 'shortCount': 1212, 'turnover': 0.4309, 'returns': 0.1549, 'drawdown': 0.1046, 'margin': 0.000719, 'fitness': 1.24, 'sharpe': 2.07, 'checks': [{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 2.07}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 1.24}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.4309}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.4309}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.9, 'value': 1.72}, {'name': 'UNITS', 'result': 'WARNING', 'message': 'Incompatible unit for input at index 0, expected ""Unit[]"", found ""Unit[CSPrice:1]""'}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'MATCHES_THEMES', 'result': 'WARNING', 'matched': [], 'unmatched': [{'id': 'qyQGwDE', 'name': 'Data Field Theme 19', 'multiplier': 5.0}]}, {'name': 'IS_LADDER_SHARPE', 'result': 'PENDING'}]}",,,,,,"-group_rank(ts_delay(sigmoid(opt4_122_call_pre_delta25)/ts_mean(vec_choose(fnd14_td_lf_sgr_ncr,nth=0),126),180),subindustry)-group_rank(fnd65_totalcap_cusip_indrelrtn5d_,sector)",2,0,2.07,1.24,WARNING
o9rlwYE,REGULAR,TN31932,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","{'code': '-rank(ts_median(arc_tan(vec_norm(nws31_amertimestamp_time))/ts_mean(vec_norm(nws12_allz_result2),252),40))+rank(ts_arg_max(vec_min(mdl135_d01_oa),40))', 'description': None, 'operatorCount': 12}",2023-05-23T21:45:16-04:00,,2023-05-24T01:45:16-04:00,,False,False,,,[],,IS,UNSUBMITTED,"{'pnl': 2547585, 'bookSize': 20000000, 'longCount': 1260, 'shortCount': 1275, 'turnover': 0.1704, 'returns': 0.0835, 'drawdown': 0.0628, 'margin': 0.00098, 'fitness': 1.14, 'sharpe': 1.63, 'checks': [{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 1.63}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 1.14}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.1704}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.1704}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.71, 'value': 1.74}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'MATCHES_THEMES', 'result': 'WARNING', 'matched': [], 'unmatched': [{'id': 'qyQGwDE', 'name': 'Data Field Theme 19', 'multiplier': 5.0}]}, {'name': 'IS_LADDER_SHARPE', 'result': 'PENDING'}]}",,,,,,"-rank(ts_median(arc_tan(vec_norm(nws31_amertimestamp_time))/ts_mean(vec_norm(nws12_allz_result2),252),40))+rank(ts_arg_max(vec_min(mdl135_d01_oa),40))",2,0,1.63,1.14,WARNING
AOmPYbR,REGULAR,TN31932,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","{'code': '-rank(ts_zscore(log(opt4_call_strikeprice_152d),30))+rank(ts_mean(scale(inst7_mmcrowding),10))', 'description': None, 'operatorCount': 8}",2023-05-23T21:46:17-04:00,,2023-05-24T01:46:17-04:00,,False,False,,,[],,IS,UNSUBMITTED,"{'pnl': 9524834, 'bookSize': 20000000, 'longCount': 1033, 'shortCount': 1024, 'turnover': 0.2782, 'returns': 0.0968, 'drawdown': 0.0672, 'margin': 0.000696, 'fitness': 1.17, 'sharpe': 1.99, 'checks': [{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 1.99}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 1.17}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.2782}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.2782}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.86, 'value': 0.99}, {'name': 'UNITS', 'result': 'WARNING', 'message': 'Incompatible unit for input at index 0, expected ""Unit[]"", found ""Unit[CSPrice:1]""'}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'MATCHES_THEMES', 'result': 'WARNING', 'matched': [], 'unmatched': [{'id': 'qyQGwDE', 'name': 'Data Field Theme 19', 'multiplier': 5.0}]}, {'name': 'IS_LADDER_SHARPE', 'result': 'PENDING'}]}",,,,,,"-rank(ts_zscore(log(opt4_call_strikeprice_152d),30))+rank(ts_mean(scale(inst7_mmcrowding),10))",2,0,1.99,1.17,WARNING
